epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,6351.66,0.50697,0.28877,0.86881,0.92976,0.85887,0.908,0.67171,0.64663,0.3495,0.97032,0.000382115,0.000382115,0.000382115
76,6435.43,0.49988,0.28448,0.86359,0.92085,0.86252,0.90757,0.67,0.64912,0.34881,0.9709,0.000367967,0.000367967,0.000367967
77,6519.23,0.49566,0.28265,0.86407,0.92311,0.86482,0.91154,0.67318,0.64623,0.34932,0.97502,0.00035382,0.00035382,0.00035382
78,6604.07,0.49329,0.28115,0.8653,0.91472,0.86645,0.9064,0.67189,0.64526,0.34788,0.97357,0.000339673,0.000339673,0.000339673
79,6688.08,0.48732,0.27837,0.86179,0.92914,0.86051,0.9078,0.67358,0.64679,0.34728,0.97151,0.000325526,0.000325526,0.000325526
80,6773.19,0.48684,0.27808,0.85807,0.9241,0.86732,0.90958,0.67394,0.64489,0.34615,0.97158,0.000311379,0.000311379,0.000311379
81,6857.85,0.48004,0.27514,0.86134,0.93076,0.86381,0.90967,0.6746,0.64288,0.34663,0.97059,0.000297232,0.000297232,0.000297232
82,6942.57,0.4784,0.27268,0.85806,0.9292,0.86454,0.90971,0.67477,0.64162,0.34414,0.97056,0.000283085,0.000283085,0.000283085
83,7027.31,0.47427,0.27303,0.8599,0.93173,0.86167,0.90991,0.67703,0.63895,0.34309,0.96849,0.000268938,0.000268938,0.000268938
84,7112.19,0.46745,0.27013,0.85467,0.92682,0.85974,0.90792,0.67783,0.63778,0.34308,0.97152,0.000254791,0.000254791,0.000254791
85,7196.92,0.46466,0.26645,0.85418,0.92063,0.86801,0.90693,0.67535,0.63673,0.34008,0.97116,0.000240644,0.000240644,0.000240644
86,7280.64,0.46263,0.2653,0.85132,0.92875,0.86659,0.91028,0.67679,0.63665,0.34077,0.97169,0.000226497,0.000226497,0.000226497
87,7364.43,0.45851,0.26349,0.8514,0.92619,0.86938,0.90889,0.67724,0.63344,0.33815,0.9686,0.000212349,0.000212349,0.000212349
88,7447.93,0.45149,0.25896,0.85029,0.92008,0.87508,0.90957,0.67799,0.63171,0.33878,0.96809,0.000198202,0.000198202,0.000198202
89,7532.78,0.45239,0.25897,0.84694,0.929,0.86904,0.90736,0.67848,0.63048,0.33765,0.96612,0.000184055,0.000184055,0.000184055
90,7617.45,0.44084,0.25307,0.84373,0.93234,0.86645,0.91031,0.67898,0.62764,0.3373,0.96594,0.000169908,0.000169908,0.000169908
91,7703.97,0.45049,0.24845,0.84241,0.93086,0.86118,0.90724,0.67511,0.63802,0.33907,0.9688,0.000155761,0.000155761,0.000155761
92,7787.84,0.43165,0.23787,0.83596,0.92238,0.86813,0.90635,0.67412,0.63759,0.34086,0.96769,0.000141614,0.000141614,0.000141614
93,7871.26,0.423,0.23411,0.83166,0.92604,0.86256,0.90616,0.67552,0.63333,0.3397,0.96936,0.000127467,0.000127467,0.000127467
94,7955.29,0.41773,0.23171,0.83337,0.93307,0.86034,0.90616,0.67603,0.63132,0.33802,0.96826,0.00011332,0.00011332,0.00011332
95,8039.2,0.41538,0.22938,0.83186,0.92975,0.86756,0.90523,0.67772,0.62999,0.3372,0.96958,9.91726e-05,9.91726e-05,9.91726e-05
96,8122.77,0.41089,0.2274,0.83228,0.93292,0.86499,0.90647,0.67753,0.62963,0.338,0.96897,8.50255e-05,8.50255e-05,8.50255e-05
97,8206.27,0.40661,0.22646,0.82843,0.93831,0.8592,0.90446,0.67814,0.62761,0.33681,0.96911,7.08784e-05,7.08784e-05,7.08784e-05
98,8289.78,0.40257,0.22409,0.82756,0.92393,0.87046,0.9049,0.67985,0.62575,0.33644,0.96714,5.67313e-05,5.67313e-05,5.67313e-05
99,8374.29,0.39734,0.22142,0.82729,0.93833,0.85796,0.9068,0.67907,0.62542,0.33586,0.9686,4.25842e-05,4.25842e-05,4.25842e-05
100,8457.83,0.39626,0.2205,0.82538,0.93809,0.85832,0.90546,0.67957,0.62351,0.33485,0.96776,2.84371e-05,2.84371e-05,2.84371e-05
